Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Давимука,Спас,Тимофійович,male,1944-05-17,Бухгалтер,село Корюківка,"набережна Оборони Ленінграду, буд. 124 кв. 86, Сміла, 87806",+380 (52) 745-57-94,mazepamykhailo@example.org
Рудько,Марʼяна,Федорівна,female,1981-01-21,Програміст,село Великі Мости,"проспект 2-й Академічний тупик, буд. 157 кв. 988, Носівка, 06987",+380 92 180-68-80,venedyktpavlyk@example.org
Матяш,Віолетта,Володимирівна,female,1947-08-22,Офіс-менеджер,хутір Іловайськ,"проспект Естонська, буд. 35, Тисмениця, 23200",068 403-99-65,borys44@example.com
Ємельяненко,Ярослав,Денисович,male,1963-01-15,Кадровий менеджер,селище Сарни,"проспект Бугаївська, буд. 53, Вишневе , 39654",661 50 17,oatroshchenko@example.com
Данько,Роксолана,Данилівна,female,1993-05-26,Тестувальник,хутір Вознесенськ,"площа Поштовий, буд. 805 кв. 74, Дружба , 05379",052 541 35 70,zandriishyn@example.com
Вдовиченко,Валерій,Євгенович,male,1999-11-05,Програміст,хутір Шумськ,"узвіз Квіткова, буд. 683, Дружба , 26094",500-65-20,iaroslavtokar@example.net
Юхименко,Варфоломій,Геннадійович,male,1994-05-21,Аудитор,село Калинівка ,"проспект Данькевича, буд. 234 кв. 412, Монастирище, 84319",+380 (95) 420-89-05,yperebyinis@example.org
Алексюк,Семен,Іванович,male,1969-11-29,Інженер з якості,селище Кипуче,"сквер Миколи Плигуна, буд. 7, Брянка, 70809",+380 03 094-40-95,imoskal@example.net
Даценко,Орися,Геннадіївна,female,1975-02-11,Копірайтер,хутір Гребінка,"шосе Кристаловського, буд. 70 кв. 4, Костопіль, 37721",977-97-72,ustym50@example.net
Щорс,Мілена,Захарівна,female,1992-02-17,Фінансовий аналітик,селище Баштанка,"вулиця Раїси Сергієнко, буд. 567 кв. 65, Ромни, 04764",+380 61 569 19 20,jvashchuk@example.net
Деревʼянко,Володимир,Геннадійович,male,1943-03-28,Копірайтер,селище Ананьїв,"парк Брестська, буд. 02, Новоазовськ, 46264",793 47 67,gdanylchuk@example.net
Петрик,Еріка,Іванівна,female,2001-06-07,Менеджер з продажу,селище Перещепине,"парк Мостовий, буд. 693, Рудки, 43450",610-08-09,nadiia48@example.org
Євдокименко,Володимира,Сергіївна,female,1955-05-17,Дизайнер,селище Дніпрорудне,"узвіз Грибоєдова, буд. 49, Антрацит , 85913",+380 79 553-92-86,hannalahoda@example.net
Колісниченко,Амалія,Станіславівна,female,2006-06-28,Дизайнер,хутір Інкерман,"проспект Черкаська, буд. 063, Ірміно, 35844",+380 25 279-38-79,hermanshchyrytsia@example.net
Удовиченко,Климент,Максимович,male,1973-07-20,Тестувальник,селище Шпола,"вулиця Миколи Бажана, буд. 313 кв. 4, Миколаїв, 41868",033 316 68 31,havryshkevychboleslav@example.net
Бевз,Аарон,Захарович,male,1973-08-02,HR-менеджер,селище Тараща,"шосе Радіо, буд. 903, Полонне, 48084",+380 94 475-61-57,sviatoslavadavydenko@example.org
Сімашкевич,Спас,Остапович,male,1990-03-20,Архітектор,хутір Конотоп,"шосе Крушельницької, буд. 62 кв. 159, Вовчанськ, 83586",+380 11 314-74-04,bdrozdenko@example.com
Оліфіренко,Опанас,Ярославович,male,1998-07-26,Аудитор,селище Ізюм,"провулок Студентський 5-й, буд. 856, Василівка , 38982",+380 86 918 16 49,makar07@example.com
Цимбалюк,Орина,Борисівна,female,2005-09-08,Системний адміністратор,місто Бершадь,"сквер Ламаний, буд. 14, Рені, 30497",063 492 22 63,dbabychenko@example.net
Забара,Юстим,Ярославович,male,1940-05-30,Аудитор,місто Буськ,"проспект Миколи Гефта, буд. 973 кв. 031, Таврійськ, 63196",+380 97 723-60-64,hordiikyrylenko@example.org
Гречаник,Адам,Ігорович,male,1980-09-12,Копірайтер,село Нововолинськ,"провулок Балтський 2-й, буд. 9, Верхівцеве, 98738",+380 73 792-21-92,mzinkevych@example.com
Верменич,Демʼян,Максимович,male,1967-02-07,Програміст,село Ворожба,"проспект Прохоровська, буд. 98, Ірпінь, 63220",+380 (92) 443-90-80,anton88@example.net
Гаврюшенко,Дан,Давидович,male,1946-09-17,Офіс-менеджер,село Херсон,"площа Соляний 2-й, буд. 6 кв. 40, Зимогір'я, 98252",108-04-53,uzakharchenko@example.com
Гавриленко,Лукʼян,Романович,male,1941-05-03,Аудитор,місто Червоносів,"вулиця Стамбульський, буд. 26, Нова Одеса, 52807",+380 (31) 748-06-30,valeriitychyna@example.net
Данькевич,Орхип,Васильович,male,1986-01-02,Системний адміністратор,селище Куп'янськ,"провулок Казковий, буд. 8 кв. 92, Рогатин, 80021",900 56 91,zorianiarosh@example.org
Верховинець,Едита,Геннадіївна,female,1978-05-21,Менеджер з продукту,селище Залізне,"узвіз Аеропортівський 6-й, буд. 0 кв. 4, Здолбунів, 13292",+380 97 797 53 87,anzhelashtepa@example.org
Ейбоженко,Йосип,Федорович,male,1993-06-05,Менеджер з закупівель,село Тетіїв,"шосе Куликовський 2-й, буд. 6, Сарни, 75707",066 874-86-97,mbandura@example.com
Кармалюк,Надія,Василівна,female,1951-06-12,Фінансовий аналітик,селище Ізюм,"шосе Кутова, буд. 4 кв. 94, Берестечко, 15326",001 870-69-26,veniiamyn20@example.com
Корпанюк,Еріка,Борисівна,female,1977-02-08,Бухгалтер,місто Вознесенськ,"провулок Ясна, буд. 28, Міусинськ, 78239",+380 26 442-38-04,hhohol-ianovskyi@example.com
Їжакевич,Петро,Давидович,male,2002-12-01,Тестувальник,село Вижниця,"вулиця Тюльпанний, буд. 81 кв. 24, Нетішин, 67667",+380 00 877-59-00,iaroslava27@example.org
Ґалаґан,Еріка,Федорівна,female,2006-05-06,Менеджер з продажу,хутір Севастополь,"узвіз Тетяни Тесс, буд. 634 кв. 95, Черкаси, 20139",313-71-76,liubovtymchenko@example.net
Козак,Вадим,Давидович,male,1963-06-28,Менеджер з маркетингу,селище Жидачів,"сквер Сухолиманна, буд. 195 кв. 9, Кам'янка-Дніпровська, 85277",352-32-60,terezaprykhodko@example.org
Михайлюк,Галина,Павлівна,female,1975-12-15,Фінансовий аналітик,місто Глухів,"парк Безіменний, буд. 347 кв. 527, Люботин, 57339",+380 12 581-93-06,iaroslava80@example.net
Андрійчук,Демʼян,Ігорович,male,1960-11-11,Аудитор,селище Чернівці,"узвіз Сумська, буд. 488, Українка , 64008",759 60 50,marta87@example.net
Ванченко,Франц,Назарович,male,2008-03-12,Програміст,селище Очаків,"провулок Глазунова, буд. 82 кв. 8, Жданівка, 02753",204-30-01,onysymhavrylenko@example.com
Забарний,Петро,Олексійович,male,1968-11-05,Асистент керівника,село Решетилівка,"проспект Михайла Грушевського, буд. 732 кв. 6, Виноградів, 58474",+380 (93) 311-76-85,klavdiia99@example.com
